parameters,simulationID,total,total_traced,total_not_traced,handled,handled_no_sla,dropped,avg_queue_time,avg_call_time,avg_drop_time,no_sla_ratio,drop_ratio
15-0.5-480-30-10-03-10-15-05,10,243,239,4,239,0,0,0.0,10.121338912133892,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,11,261,253,8,253,0,0,0.0,9.865612648221344,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,12,260,253,7,253,0,0,0.0,10.26086956521739,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,13,212,206,6,206,0,0,0.0,10.179611650485437,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,14,233,230,3,230,0,0,0.0,10.130434782608695,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,15,239,236,3,236,0,0,0.0,9.927966101694915,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,16,246,240,6,240,0,0,0.0,10.066666666666666,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,17,237,230,7,230,0,0,0.0,9.882608695652173,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,18,243,241,2,241,0,0,0.0,10.070539419087137,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,19,222,220,2,220,0,0,0.0,9.922727272727272,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,20,248,245,3,245,0,0,0.0,10.19591836734694,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,21,232,226,6,226,0,0,0.0,10.225663716814159,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,22,230,227,3,227,0,0,0.0,9.832599118942731,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,23,244,241,3,241,0,0,0.0,10.112033195020746,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,24,246,240,6,240,0,0,0.0,10.166666666666666,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,25,238,228,10,228,0,0,0.0,9.653508771929825,,0.0,0.0
15-0.5-480-30-10-03-10-15-05,26,228,224,4,224,0,0,0.0,10.205357142857142,,0.0,0.0
